model_family,feature_set,avg_precision,brier,f1,roc_auc
Logit,A_place_time,0.021147169258819244,0.6935664926876237,0.042520548884489126,0.5291614799460358
Logit,B_local_history,0.4951002182058676,0.32274080319764936,0.4732947468679024,0.896985737568607
Logit,C_local_plus_neighbors,0.5026100676294325,0.28388938526563895,0.45139163698720486,0.9183188980284314
Logit,D_fatality_split,0.5021745950482969,0.28356512176357523,0.45124442589460273,0.9182457751637312
Logit,E_extended,0.5022496451341747,0.283436096978816,0.45112385472282646,0.918219441409825
RF,A_place_time,0.22963701963665792,0.037496373255869506,0.33915137819273883,0.8594025723502494
RF,B_local_history,0.5133054949468765,0.034382549994247974,0.5100783155732443,0.9248650697305967
RF,C_local_plus_neighbors,0.5170118840360958,0.03487859820240019,0.5128152762177065,0.9296914914898775
RF,D_fatality_split,0.5189616818788299,0.03898755901041748,0.5129084239037268,0.9320493000230404
RF,E_extended,0.5167149414567729,0.045195325655142664,0.5088573360378634,0.9319830809146884
