model,bin,mean_predicted_risk,observed_protest_rate,n
RF_B_local_history,0,0.0,0.0021081748845203567,74472
RF_B_local_history,1,0.0,0.0022155978085723494,74472
RF_B_local_history,2,0.0,0.0021887420775593513,74472
RF_B_local_history,3,6.386977240975662e-05,0.0011413685680524224,74472
RF_B_local_history,4,0.002230101487073765,0.0011950800300784188,74472
RF_B_local_history,5,0.007585943005776841,0.0028735632183908046,74472
RF_B_local_history,6,0.014760342040548689,0.004552046406703191,74472
RF_B_local_history,7,0.03787617260008873,0.0068750671393275325,74472
RF_B_local_history,8,0.11929856804565349,0.012085078955849178,74472
RF_B_local_history,9,0.5828099928681636,0.16371253625523688,74472
RF_C_local_plus_neighbors,0,0.0,0.0019604683639488666,74472
RF_C_local_plus_neighbors,1,0.0,0.002000751960468364,74472
RF_C_local_plus_neighbors,2,0.0,0.001853045439896874,74472
RF_C_local_plus_neighbors,3,7.252423921493382e-05,0.0011413685680524224,74472
RF_C_local_plus_neighbors,4,0.001956894908845958,0.0006311096788054571,74472
RF_C_local_plus_neighbors,5,0.007427398573555263,0.0028198517563648084,74472
RF_C_local_plus_neighbors,6,0.017061978446432105,0.004243205500053712,74472
RF_C_local_plus_neighbors,7,0.04628355043118707,0.00632452465356107,74472
RF_C_local_plus_neighbors,8,0.13614043635202952,0.013051885272317112,74472
RF_C_local_plus_neighbors,9,0.5873741823747863,0.1649210441508218,74472
RF_D_fatality_split,0,0.005715104001903751,0.001705338919325384,74472
RF_D_fatality_split,1,0.009182361230372305,0.0014233537436889032,74472
RF_D_fatality_split,2,0.012275128311827676,0.0011816521645719197,74472
RF_D_fatality_split,3,0.015348161149230332,0.0013025029541304115,74472
RF_D_fatality_split,4,0.020398920039665543,0.0018799011709098722,74472
RF_D_fatality_split,5,0.027916527409699715,0.003262971318079278,74472
RF_D_fatality_split,6,0.040646807863833206,0.003571812224728757,74472
RF_D_fatality_split,7,0.07523680177094014,0.005773982167794608,74472
RF_D_fatality_split,8,0.1738082033414603,0.012716188634654636,74472
RF_D_fatality_split,9,0.6188170961824306,0.1661295520464067,74472
Logit_C_local_plus_neighbors,0,0.34622836108347155,0.0021887420775593513,74472
Logit_C_local_plus_neighbors,1,0.3888140665427114,0.002323020732624342,74472
Logit_C_local_plus_neighbors,2,0.41520315559923393,0.0028601353528843053,74472
Logit_C_local_plus_neighbors,3,0.43785425186537913,0.002886991083897304,74472
Logit_C_local_plus_neighbors,4,0.4597393183860675,0.003289827049092276,74472
Logit_C_local_plus_neighbors,5,0.48250264918220626,0.002658717370286819,74472
Logit_C_local_plus_neighbors,6,0.5076216949106215,0.0033301106456117735,74472
Logit_C_local_plus_neighbors,7,0.541319583491533,0.002806423890858309,74472
Logit_C_local_plus_neighbors,8,0.6802840226069098,0.010554302288108282,74472
Logit_C_local_plus_neighbors,9,0.9475714408850063,0.16604898485336772,74472
Logit_D_fatality_split,0,0.3459359009669643,0.00220216994306585,74472
Logit_D_fatality_split,1,0.3885295708216172,0.002309592867117843,74472
Logit_D_fatality_split,2,0.41490580246140957,0.002886991083897304,74472
Logit_D_fatality_split,3,0.43754840407704937,0.0028601353528843053,74472
Logit_D_fatality_split,4,0.45942737469074185,0.0033166827801052743,74472
Logit_D_fatality_split,5,0.48218180865678384,0.0026452895047803203,74472
Logit_D_fatality_split,6,0.5072885560747207,0.0033301106456117735,74472
Logit_D_fatality_split,7,0.5409645720997401,0.0028198517563648084,74472
Logit_D_fatality_split,8,0.6795795519214065,0.010540874422601784,74472
Logit_D_fatality_split,9,0.9475110873605784,0.1660355569878612,74472
